store_id,date,open,promo,state_holiday,school_holiday,customers,store_type,assortment,competition_distance
store_1,2015-09-17,1.0,1,0,0,,c,a,1270.0
store_2,2015-09-17,1.0,1,0,0,,a,a,14130.0
store_3,2015-09-17,1.0,1,0,0,,a,c,24000.0
store_4,2015-09-17,1.0,1,0,0,,a,a,7520.0
store_5,2015-09-17,1.0,1,0,0,,a,c,2030.0
store_6,2015-09-17,1.0,1,0,0,,a,a,3160.0
store_7,2015-09-17,1.0,1,0,0,,a,c,960.0
store_8,2015-09-17,1.0,1,0,0,,a,c,1070.0
store_9,2015-09-17,1.0,1,0,0,,a,a,1300.0
store_10,2015-09-17,1.0,1,0,0,,d,c,4110.0
store_11,2015-09-17,1.0,1,0,0,,a,c,3270.0
store_12,2015-09-17,1.0,1,0,0,,a,c,3240.0
store_13,2015-09-17,1.0,1,0,0,,c,c,550.0
store_14,2015-09-17,1.0,1,0,0,,d,a,4060.0
store_15,2015-09-17,1.0,1,0,0,,a,c,4590.0
store_16,2015-09-17,1.0,1,0,0,,c,a,430.0
store_17,2015-09-17,1.0,1,0,0,,a,a,60.0
store_18,2015-09-17,1.0,1,0,0,,d,c,2170.0
store_19,2015-09-17,1.0,1,0,0,,a,a,40.0
store_20,2015-09-17,1.0,1,0,0,,d,c,9800.0
store_21,2015-09-17,1.0,1,0,0,,a,c,1320.0
store_22,2015-09-17,1.0,1,0,0,,d,c,7660.0
store_23,2015-09-17,1.0,1,0,0,,d,a,1090.0
store_24,2015-09-17,1.0,1,0,0,,a,a,260.0
store_25,2015-09-17,1.0,1,0,0,,a,a,180.0
store_26,2015-09-17,1.0,1,0,0,,a,c,290.0
store_27,2015-09-17,1.0,1,0,0,,d,a,4880.0
store_28,2015-09-17,1.0,1,0,0,,d,a,9710.0
store_29,2015-09-17,1.0,1,0,0,,a,c,270.0
store_30,2015-09-17,1.0,1,0,0,,a,a,1060.0
store_31,2015-09-17,1.0,1,0,0,,d,c,18010.0
store_32,2015-09-17,1.0,1,0,0,,d,a,6260.0
store_33,2015-09-17,1.0,1,0,0,,a,c,30360.0
store_34,2015-09-17,1.0,1,0,0,,d,c,6620.0
store_35,2015-09-17,1.0,1,0,0,,a,c,350.0
store_36,2015-09-17,1.0,1,0,0,,a,a,2050.0
store_37,2015-09-17,1.0,1,0,0,,c,c,3700.0
store_38,2015-09-17,1.0,1,0,0,,d,c,22560.0
store_39,2015-09-17,1.0,1,0,0,,d,a,7660.0
store_40,2015-09-17,1.0,1,0,0,,a,c,410.0
store_41,2015-09-17,1.0,1,0,0,,a,c,250.0
store_42,2015-09-17,1.0,1,0,0,,c,c,1130.0
store_43,2015-09-17,1.0,1,0,0,,c,c,4840.0
store_44,2015-09-17,1.0,1,0,0,,a,a,17500.0
