store_id,date,open,promo,state_holiday,school_holiday,customers
store_1,2015-09-17,1.0,1,0,0,
store_2,2015-09-17,1.0,1,0,0,
store_3,2015-09-17,1.0,1,0,0,
store_4,2015-09-17,1.0,1,0,0,
store_5,2015-09-17,1.0,1,0,0,
store_6,2015-09-17,1.0,1,0,0,
store_7,2015-09-17,1.0,1,0,0,
store_8,2015-09-17,1.0,1,0,0,
store_9,2015-09-17,1.0,1,0,0,
store_10,2015-09-17,1.0,1,0,0,
store_11,2015-09-17,1.0,1,0,0,
store_12,2015-09-17,1.0,1,0,0,
store_13,2015-09-17,1.0,1,0,0,
store_14,2015-09-17,1.0,1,0,0,
store_15,2015-09-17,1.0,1,0,0,
store_16,2015-09-17,1.0,1,0,0,
store_17,2015-09-17,1.0,1,0,0,
store_18,2015-09-17,1.0,1,0,0,
store_19,2015-09-17,1.0,1,0,0,
store_20,2015-09-17,1.0,1,0,0,
store_21,2015-09-17,1.0,1,0,0,
store_22,2015-09-17,1.0,1,0,0,
store_23,2015-09-17,1.0,1,0,0,
store_24,2015-09-17,1.0,1,0,0,
store_25,2015-09-17,1.0,1,0,0,
store_26,2015-09-17,1.0,1,0,0,
store_27,2015-09-17,1.0,1,0,0,
store_28,2015-09-17,1.0,1,0,0,
store_29,2015-09-17,1.0,1,0,0,
store_30,2015-09-17,1.0,1,0,0,
store_31,2015-09-17,1.0,1,0,0,
store_32,2015-09-17,1.0,1,0,0,
store_33,2015-09-17,1.0,1,0,0,
store_34,2015-09-17,1.0,1,0,0,
store_35,2015-09-17,1.0,1,0,0,
store_36,2015-09-17,1.0,1,0,0,
store_37,2015-09-17,1.0,1,0,0,
store_38,2015-09-17,1.0,1,0,0,
store_39,2015-09-17,1.0,1,0,0,
store_40,2015-09-17,1.0,1,0,0,
store_41,2015-09-17,1.0,1,0,0,
store_42,2015-09-17,1.0,1,0,0,
store_43,2015-09-17,1.0,1,0,0,
store_44,2015-09-17,1.0,1,0,0,
store_45,2015-09-17,1.0,1,0,0,
store_46,2015-09-17,1.0,1,0,0,
store_47,2015-09-17,1.0,1,0,0,
store_48,2015-09-17,1.0,1,0,0,
store_49,2015-09-17,1.0,1,0,0,
store_50,2015-09-17,1.0,1,0,0,
store_51,2015-09-17,1.0,1,0,0,
store_52,2015-09-17,1.0,1,0,0,
store_53,2015-09-17,1.0,1,0,0,
store_54,2015-09-17,1.0,1,0,0,
store_55,2015-09-17,1.0,1,0,0,
store_56,2015-09-17,1.0,1,0,0,
store_57,2015-09-17,1.0,1,0,0,
store_58,2015-09-17,1.0,1,0,0,
store_59,2015-09-17,1.0,1,0,0,
store_60,2015-09-17,1.0,1,0,0,
store_61,2015-09-17,1.0,1,0,0,
store_62,2015-09-17,1.0,1,0,0,
store_63,2015-09-17,1.0,1,0,0,
store_64,2015-09-17,1.0,1,0,0,
store_65,2015-09-17,1.0,1,0,0,
store_66,2015-09-17,1.0,1,0,0,
store_67,2015-09-17,1.0,1,0,0,
store_68,2015-09-17,1.0,1,0,0,
store_69,2015-09-17,1.0,1,0,0,
store_70,2015-09-17,1.0,1,0,0,
store_71,2015-09-17,1.0,1,0,0,
store_72,2015-09-17,1.0,1,0,0,
store_73,2015-09-17,1.0,1,0,0,
store_74,2015-09-17,1.0,1,0,0,
store_75,2015-09-17,1.0,1,0,0,
store_76,2015-09-17,1.0,1,0,0,
